OTU_ID,Atom02,Atom5,Atom10,Atom20,Atom30,Atom40,Atom50,Atom60,Atom70,Atom80
OTU_1686,-0.56403498,-0.7000118,0.115516998,-0.360208849,-0.699955425,0.183476608,0.523280784,1.270905121,0.183476608,0.047554937
OTU_173,1.873706392,-0.189861959,0.057765112,0.140309454,0.140307965,0.057766601,-0.932609207,-0.93274466,-0.107319105,-0.107320594
OTU_1745,1.168339207,-0.445048652,0.61198362,-0.4450938,-0.556365318,-0.16691701,-0.333823284,-0.667591689,0.61198362,0.222533305
OTU_1849,-0.798734472,1.153725934,0.976229243,0.266098441,-0.443741089,-0.088747706,-0.088747706,-0.443888325,-0.266097161,-0.266097161
OTU_1919,-0.568810077,-0.027091369,1.056346047,0.379197356,-0.70424006,0.243768595,-0.501096307,-0.501038915,0.379197356,0.243767374
OTU_1959,1.47831325,-0.474108851,0.734505458,0.176647099,-0.288234867,0.083670706,-0.38121126,-0.567162369,-0.660137086,-0.10228208
OTU_199,-0.684246611,-0.750039737,-0.026317725,0.039475401,1.486921798,0.039476587,-0.092110851,-0.15790279,0.302646718,-0.15790279
OTU_206,-1.245812268,-0.371884281,-0.613608949,0.061980727,0.564024421,0.601212806,0.477251487,-1.004087378,0.973097098,0.557826338
OTU_2067,0.864246116,0.205122014,0.937490345,-0.747033159,-0.454062845,-0.014666148,-0.087910378,-0.454123601,-0.307637783,0.05857544
OTU_2072,-0.735430932,-0.282858365,-0.622452069,-0.509191585,-0.509191585,-0.282858365,0.848613868,0.622376562,1.301374182,0.169618288
OTU_2085,-0.676041437,-0.450507227,-0.000186523,1.577240382,-0.450507227,0.450694969,-0.000186523,-0.225346875,-0.225346875,0.000187336
OTU_212,0.884447628,-0.218698654,-0.702535116,0.303844083,-0.276758764,-0.721872549,1.252163172,0.071635052,-0.296112251,-0.2961126
OTU_215,-0.553178674,0.20330487,1.739912108,-0.482258222,-0.600458549,0.605186579,-0.718659303,-0.127656388,0.297865473,-0.364057895
OTU_216,-1.153146345,-0.582243084,0.673645258,-0.011436596,0.78782591,0.78782591,-0.239797901,0.216922649,-0.582337798,0.102741997
OTU_221,-0.983459956,-0.057021559,0.085516916,0.37059258,0.299323343,-0.057021559,-0.484634413,0.51313234,-0.057021559,0.370593866
OTU_2235,0.463009633,0.178070055,0.463009633,-0.462986511,0.035658714,0.106834839,-0.819219111,-0.961631736,-0.320576455,1.317830937
OTU_228,-0.893792993,0.255385842,-1.149401975,-0.255194251,-0.127601616,-0.255300179,0.893770426,0.51067704,1.276866115,-0.255408409
OTU_241,1.333692351,0.074086448,0.815032433,-0.666855528,-0.963232052,0.370465644,-0.963170589,-0.740948657,0.296371179,0.444558772
OTU_2466,0.921596572,0.025595962,0.153595389,-0.358406938,-0.742406375,0.281594817,-0.614406948,-0.806353577,0.345595108,0.79359599
OTU_257,0.931741745,0.184589961,0.44829115,-0.16701004,-0.870211626,-0.079109643,-0.694411625,-0.650461427,-0.210961031,1.107542537
OTU_26,-1.350787449,-0.164029601,-0.446231014,-0.395837935,-0.045605773,-0.259776482,-0.095998852,1.84413606,0.662417488,0.251713559
OTU_264,0.581704597,-1.060203737,-0.497263423,-0.075059244,-0.121970162,0.20641049,1.285380201,-0.028146635,-0.121970162,-0.168881925
OTU_269,1.149501314,0.006013808,-0.355088195,0.06619639,-0.716188027,0.06619639,-0.054169859,-0.956873858,-0.294904527,1.089316562
OTU_2719,-0.875143154,-0.196460053,0.160739985,-0.660822616,-0.446501433,0.089300235,-0.017859712,1.089463822,0.732262495,0.125020432
OTU_274,1.327241109,-0.292865878,-0.479800565,0.081005743,-0.417488628,-0.853672186,0.205629616,0.018693806,-0.355177815,0.766434801
OTU_276,1.742660613,-0.405934854,0.190995878,0.429630409,0.071532241,-0.16710229,-0.763738124,0.310263635,-0.644470367,-0.763837141
OTU_285,-0.96015746,-0.143030081,-0.960242197,0.469879927,0.265575977,0.776335852,1.491397835,0.265575977,-0.449482322,-0.75585351
OTU_286,-0.543182541,-0.669504433,-0.290538757,1.604178003,-0.164323929,0.214644025,0.467285531,-0.037687679,-0.416651077,-0.164219143
OTU_2904,1.177535749,-0.878561606,-0.317651811,0.616784376,-0.131047037,-0.317341707,0.243102933,-0.130888615,0.429866129,-0.69179841
OTU_2955,1.079580462,0.20729386,0.425231286,-0.77414632,-0.338182969,-0.338002036,-0.011003464,-0.119883677,-0.883295966,0.752408824
OTU_30,1.104972997,-0.381538206,0.559919693,-0.629288733,0.361716949,0.510368337,-1.322995212,-0.530188701,0.460818768,-0.133785892
OTU_304,-0.557122014,-0.824326557,-0.623922849,-0.503680961,-0.971289212,-0.183035366,0.752181376,0.685380301,1.540435222,0.68538006
OTU_308,0.71934154,-0.134126934,1.085114685,0.10972183,-0.621772792,0.10972183,-0.56086117,-0.865671025,0.719342639,-0.560810601
OTU_3103,-0.780256679,-0.68639437,-0.498279804,-0.028268048,-0.404261516,-0.028188363,0.3478814,1.758154028,0.3478814,-0.028268048
OTU_3128,1.126155041,-0.482478997,0.321726807,-1.019209343,-0.214558681,0.858234725,-1.019209343,0.590091981,-0.214558681,0.053806492
OTU_3139,-0.59941432,-0.686219435,-0.51253714,-0.512609206,-0.16510205,-0.16510205,0.356159468,1.57250893,0.008650745,0.703665057
OTU_3165,0.491201578,-1.074948622,0.135258759,0.064069938,-0.434251805,0.2776364,0.562391682,-0.790194624,0.206446296,0.562390398
OTU_340,-1.066049129,-0.539140421,-0.463867943,-0.115731839,-0.398004227,0.025404525,0.072449867,1.239176338,0.524086095,0.721676733
OTU_351,-0.657178605,-0.657178605,-0.657178605,-0.578058834,-0.419622234,-0.261317006,0.847209422,1.79743205,0.688839936,-0.10294752
OTU_358,0.975548916,-0.232283062,-0.696833436,-0.418103882,-0.232283062,0.510998542,1.161369736,-0.139374327,-0.882654256,-0.046385171
OTU_36,-0.759552991,0.181178317,-0.236924766,0.216019612,0.634121438,-0.655026592,-0.062715148,0.041810622,-0.27176669,0.912856198
OTU_3838,0.594015619,-0.053319082,-0.624497203,0.632094252,-0.091398401,-0.89101536,1.317508272,-0.319837926,0.022836811,-0.586386983
OTU_3870,1.873887805,-0.017207601,0.326628209,-0.532886912,-0.962680125,0.154711854,0.154710304,-0.532958217,-0.275082909,-0.189122406
OTU_3925,-0.749758046,-0.117469879,-0.388374663,0.334164061,-0.298124106,0.695470887,0.42464103,-1.020589531,0.695547444,0.424492803
OTU_4001,1.413570422,-0.335175191,-0.189314985,-0.043696564,-0.189317613,0.97635511,-0.043817457,-0.772393132,-0.772393132,-0.043817457
OTU_4024,0.866889152,0.083021902,-0.793148912,1.005226835,0.036870535,-0.793072411,0.359655691,0.267431124,-0.79310983,-0.239764086
OTU_406,0.517117046,0.20182316,-0.807226679,0.264860557,-0.018926288,-0.838706427,0.485584416,0.264860557,-0.618034881,0.548648539
OTU_421,0.521337989,-0.675827736,-0.251016032,0.52140206,-0.328286116,-0.28966744,1.293724742,-0.40546079,0.019286147,-0.405492825
OTU_422,0.431670042,-0.030823262,-0.735621299,0.079280555,0.167396097,-0.581432108,0.960255264,0.497761961,-0.449304271,-0.339182978
OTU_4410,1.056491936,0.335212406,-0.598286836,0.929200967,0.12302636,-0.852798381,0.080596802,0.038165714,-0.555822082,-0.555786885
OTU_45,-1.487527472,-0.392481759,-0.598480471,0.084568014,0.735090128,-0.034694625,0.615827685,1.222981763,-0.446691853,0.301408588
OTU_4573,1.731536555,-0.707447971,-0.219650186,0.024451024,-0.219650186,-0.46334676,0.268552235,-0.46334676,0.024451024,0.024451024
OTU_4603,1.650382369,-0.745551201,-0.745551201,0.585498472,-0.479164635,-0.212778069,-0.745551201,0.58594005,0.58594005,-0.479164635
OTU_467,-0.561356924,-0.695158789,-0.427998655,-0.561356924,-0.160505824,0.106987007,-0.293974992,1.042710459,0.909017082,0.641637561
OTU_4714,1.463642151,-0.302910511,0.706546202,-0.554961815,-0.807536472,0.328002779,-0.555275827,-0.807536472,-0.050335854,0.58036582
OTU_4758,1.155168055,-0.927980664,0.018749578,-0.170313705,-0.359848264,0.776573628,-0.170627889,-0.359691172,0.019063762,0.01890667
OTU_4810,0.965663836,-1.117448668,0.776450166,0.208170553,-0.35995197,0.018953468,-0.170420707,-0.170420707,0.208327642,-0.359323614
OTU_50,0.694365061,0.063123949,-0.748471303,0.378744302,-0.094686228,-0.928826255,0.243478901,0.446377815,-0.771016079,0.716909837
OTU_520,1.240880661,-0.367707282,-0.643389676,0.183808347,-0.321710212,-0.597391778,1.516638475,-0.321748337,-0.597468027,-0.091912172
OTU_530,0.386713394,0.664381737,-0.604884822,-0.109077667,0.386713036,-0.466058518,-0.089228887,0.882536642,-0.60486837,-0.446226546
OTU_537,0.64408584,-0.907378636,-0.390211376,0.59710948,-0.719318045,-0.484280247,1.490359769,-0.484242095,0.220948451,0.03292686
